ID,模块,优先级,功能标题,状态
REX-0094,"环境数据Oracle",P0,"离线降级",待开发
REX-0095,"环境数据Oracle",P0,"链上Attest",待开发
REX-0096,"环境数据Oracle",P0,"历史存档",待开发
REX-0097,"环境数据Oracle",P0,"自定义坐标",待开发
REX-0098,"环境数据Oracle",P0,"IP定位",待开发
REX-0099,"环境数据Oracle",P0,"UV校验",待开发
REX-0100,"环境数据Oracle",P0,"风速标准",待开发
REX-0101,"环境数据Oracle",P0,"Open-Meteo hardened #2",待开发
REX-0102,"环境数据Oracle",P0,"OpenAQ v3 #2",待开发
REX-0103,"环境数据Oracle",P0,"NOAA API #2",待开发
REX-0104,"环境数据Oracle",P0,"WMO源 #2",待开发
REX-0105,"环境数据Oracle",P0,"AQI聚合 #2",待开发
REX-0106,"环境数据Oracle",P0,"PM2.5标准 #2",待开发
REX-0107,"环境数据Oracle",P0,"Freshness检测 #2",待开发
REX-0108,"环境数据Oracle",P0,"Stale拒绝 #2",待开发
REX-0109,"环境数据Oracle",P0,"Geo缓存 #2",待开发
REX-0110,"环境数据Oracle",P0,"城市别名 #2",待开发
REX-0111,"环境数据Oracle",P0,"Rate退避 #2",待开发
REX-0112,"环境数据Oracle",P0,"Key轮换 #2",待开发
REX-0113,"环境数据Oracle",P0,"健康Cron #2",待开发
REX-0114,"环境数据Oracle",P0,"离线降级 #2",待开发
REX-0115,"环境数据Oracle",P0,"链上Attest #2",待开发
REX-0116,"环境数据Oracle",P0,"历史存档 #2",待开发
REX-0117,"环境数据Oracle",P0,"自定义坐标 #2",待开发
REX-0118,"环境数据Oracle",P0,"IP定位 #2",待开发
REX-0119,"环境数据Oracle",P0,"UV校验 #2",待开发
REX-0120,"环境数据Oracle",P0,"风速标准 #2",待开发
REX-0121,"环境数据Oracle",P0,"Open-Meteo hardened #3",待开发
REX-0122,"环境数据Oracle",P0,"OpenAQ v3 #3",待开发
REX-0123,"环境数据Oracle",P0,"NOAA API #3",待开发
REX-0124,"环境数据Oracle",P0,"WMO源 #3",待开发
REX-0125,"环境数据Oracle",P0,"AQI聚合 #3",待开发
REX-0126,"环境数据Oracle",P0,"PM2.5标准 #3",待开发
REX-0127,"环境数据Oracle",P0,"Freshness检测 #3",待开发
REX-0128,"环境数据Oracle",P0,"Stale拒绝 #3",待开发
REX-0129,"环境数据Oracle",P0,"Geo缓存 #3",待开发
REX-0130,"环境数据Oracle",P0,"城市别名 #3",待开发
REX-0131,"环境数据Oracle",P0,"Rate退避 #3",待开发
REX-0132,"环境数据Oracle",P0,"Key轮换 #3",待开发
REX-0133,"环境数据Oracle",P0,"健康Cron #3",待开发
REX-0134,"环境数据Oracle",P0,"离线降级 #3",待开发
REX-0135,"环境数据Oracle",P0,"链上Attest #3",待开发
REX-0136,"环境数据Oracle",P0,"历史存档 #3",待开发
REX-0137,"环境数据Oracle",P0,"自定义坐标 #3",待开发
REX-0138,"环境数据Oracle",P0,"IP定位 #3",待开发
REX-0139,"环境数据Oracle",P0,"UV校验 #3",待开发
REX-0140,"环境数据Oracle",P0,"风速标准 #3",待开发
REX-0141,"Vault核心逻辑",P0,"AND/OR嵌套",待开发
REX-0142,"Vault核心逻辑",P0,"范围滑块",待开发
REX-0143,"Vault核心逻辑",P0,"模板市场",待开发
REX-0144,"Vault核心逻辑",P0,"模板保存",待开发
REX-0145,"Vault核心逻辑",P0,"Vault编辑",待开发
REX-0146,"Vault核心逻辑",P0,"删除撤销",待开发
REX-0147,"Vault核心逻辑",P0,"Vault转让",待开发
REX-0148,"Vault核心逻辑",P0,"批量创建",待开发
REX-0149,"Vault核心逻辑",P0,"TTL过期",待开发
REX-0150,"Vault核心逻辑",P0,"续期",待开发
REX-0151,"Vault核心逻辑",P0,"触发历史",待开发
REX-0152,"Vault核心逻辑",P0,"接近预警",待开发
REX-0153,"Vault核心逻辑",P0,"自动开箱",待开发
REX-0154,"Vault核心逻辑",P0,"冷却期",待开发
REX-0155,"Vault核心逻辑",P0,"分享链接",待开发
REX-0156,"Vault核心逻辑",P0,"JSON导出",待开发
REX-0157,"Vault核心逻辑",P0,"JSON导入",待开发
REX-0158,"Vault核心逻辑",P0,"搜索",待开发
REX-0159,"Vault核心逻辑",P0,"筛选",待开发
REX-0160,"Vault核心逻辑",P0,"城市分组",待开发
REX-0161,"Vault核心逻辑",P0,"主题分组",待开发
REX-0162,"Vault核心逻辑",P0,"实时预览",待开发
REX-0163,"Vault核心逻辑",P0,"冲突检测",待开发
REX-0164,"Vault核心逻辑",P0,"命名校验",待开发
REX-0165,"Vault核心逻辑",P0,"AND/OR嵌套 #2",待开发
REX-0166,"Vault核心逻辑",P0,"范围滑块 #2",待开发
REX-0167,"Vault核心逻辑",P0,"模板市场 #2",待开发
REX-0168,"Vault核心逻辑",P0,"模板保存 #2",待开发
REX-0169,"Vault核心逻辑",P0,"Vault编辑 #2",待开发
REX-0170,"Vault核心逻辑",P0,"删除撤销 #2",待开发
REX-0171,"Vault核心逻辑",P0,"Vault转让 #2",待开发
REX-0172,"Vault核心逻辑",P0,"批量创建 #2",待开发
REX-0173,"Vault核心逻辑",P0,"TTL过期 #2",待开发
REX-0174,"Vault核心逻辑",P0,"续期 #2",待开发
REX-0175,"Vault核心逻辑",P0,"触发历史 #2",待开发
REX-0176,"Vault核心逻辑",P0,"接近预警 #2",待开发
REX-0177,"Vault核心逻辑",P0,"自动开箱 #2",待开发
REX-0178,"Vault核心逻辑",P0,"冷却期 #2",待开发
REX-0179,"Vault核心逻辑",P0,"分享链接 #2",待开发
REX-0180,"Vault核心逻辑",P0,"JSON导出 #2",待开发
REX-0181,"Vault核心逻辑",P0,"JSON导入 #2",待开发
REX-0182,"Vault核心逻辑",P0,"搜索 #2",待开发
REX-0183,"Vault核心逻辑",P0,"筛选 #2",待开发
REX-0184,"Vault核心逻辑",P0,"城市分组 #2",待开发
REX-0185,"Vault核心逻辑",P0,"主题分组 #2",待开发
REX-0186,"Vault核心逻辑",P0,"实时预览 #2",待开发
REX-0187,"Vault核心逻辑",P0,"冲突检测 #2",待开发
REX-0188,"Vault核心逻辑",P0,"命名校验 #2",待开发
REX-0189,"Vault核心逻辑",P0,"AND/OR嵌套 #3",待开发
REX-0190,"Vault核心逻辑",P0,"范围滑块 #3",待开发
REX-0191,"Vault核心逻辑",P0,"模板市场 #3",待开发
REX-0192,"Vault核心逻辑",P0,"模板保存 #3",待开发
REX-0193,"Vault核心逻辑",P0,"Vault编辑 #3",待开发
REX-0194,"Vault核心逻辑",P0,"删除撤销 #3",待开发
REX-0195,"Vault核心逻辑",P0,"Vault转让 #3",待开发
REX-0196,"Vault核心逻辑",P0,"批量创建 #3",待开发
REX-0197,"Vault核心逻辑",P0,"TTL过期 #3",待开发
REX-0198,"Vault核心逻辑",P0,"续期 #3",待开发
REX-0199,"Vault核心逻辑",P0,"触发历史 #3",待开发
REX-0200,"Vault核心逻辑",P0,"接近预警 #3",待开发
REX-0201,"Vault核心逻辑",P0,"自动开箱 #3",待开发
REX-0202,"Vault核心逻辑",P0,"冷却期 #3",待开发
REX-0203,"Vault核心逻辑",P0,"分享链接 #3",待开发
REX-0204,"Vault核心逻辑",P0,"JSON导出 #3",待开发
REX-0205,"Vault核心逻辑",P0,"JSON导入 #3",待开发
REX-0206,"Vault核心逻辑",P0,"搜索 #3",待开发
REX-0207,"Vault核心逻辑",P0,"筛选 #3",待开发
REX-0208,"Vault核心逻辑",P0,"城市分组 #3",待开发
REX-0209,"Vault核心逻辑",P0,"主题分组 #3",待开发
REX-0210,"Vault核心逻辑",P0,"实时预览 #3",待开发
REX-0211,"Vault核心逻辑",P0,"冲突检测 #3",待开发
REX-0212,"Vault核心逻辑",P0,"命名校验 #3",待开发
REX-0213,"Vault核心逻辑",P0,"AND/OR嵌套 #4",待开发
REX-0214,"Vault核心逻辑",P0,"范围滑块 #4",待开发
REX-0215,"Vault核心逻辑",P0,"模板市场 #4",待开发
REX-0216,"Artifact数字藏品",P1,"NFT mint",待开发
REX-0217,"Artifact数字藏品",P1,"ERC-721",待开发
REX-0218,"Artifact数字藏品",P1,"稀有度验证",待开发
REX-0219,"Artifact数字藏品",P1,"SVG生成",待开发
REX-0220,"Artifact数字藏品",P1,"Canvas渲染",待开发
REX-0221,"Artifact数字藏品",P1,"Reveal动画",待开发
REX-0222,"Artifact数字藏品",P1,"画廊",待开发
REX-0223,"Artifact数字藏品",P1,"详情页",待开发
REX-0224,"Artifact数字藏品",P1,"OpenSea",待开发
REX-0225,"Artifact数字藏品",P1,"IPFS",待开发
REX-0226,"Artifact数字藏品",P1,"Arweave",待开发
REX-0227,"Artifact数字藏品",P1,"转赠",待开发
REX-0228,"Artifact数字藏品",P1,"二级市场",待开发
REX-0229,"Artifact数字藏品",P1,"版税",待开发
REX-0230,"Artifact数字藏品",P1,"Collection",待开发
REX-0231,"Artifact数字藏品",P1,"未开证明",待开发
REX-0232,"Artifact数字藏品",P1,"合成",待开发
REX-0233,"Artifact数字藏品",P1,"Legendary",待开发
REX-0234,"Artifact数字藏品",P1,"种子生成",待开发
REX-0235,"Artifact数字藏品",P1,"metadata",待开发
REX-0236,"Artifact数字藏品",P1,"NFT mint #2",待开发
REX-0237,"Artifact数字藏品",P1,"ERC-721 #2",待开发
REX-0238,"Artifact数字藏品",P1,"稀有度验证 #2",待开发
REX-0239,"Artifact数字藏品",P1,"SVG生成 #2",待开发
REX-0240,"Artifact数字藏品",P1,"Canvas渲染 #2",待开发
REX-0241,"Artifact数字藏品",P1,"Reveal动画 #2",待开发
REX-0242,"Artifact数字藏品",P1,"画廊 #2",待开发
REX-0243,"Artifact数字藏品",P1,"详情页 #2",待开发
REX-0244,"Artifact数字藏品",P1,"OpenSea #2",待开发
REX-0245,"Artifact数字藏品",P1,"IPFS #2",待开发
REX-0246,"Artifact数字藏品",P1,"Arweave #2",待开发
REX-0247,"Artifact数字藏品",P1,"转赠 #2",待开发
REX-0248,"Artifact数字藏品",P1,"二级市场 #2",待开发
REX-0249,"Artifact数字藏品",P1,"版税 #2",待开发
REX-0250,"Artifact数字藏品",P1,"Collection #2",待开发
REX-0251,"Artifact数字藏品",P1,"未开证明 #2",待开发
REX-0252,"Artifact数字藏品",P1,"合成 #2",待开发
REX-0253,"Artifact数字藏品",P1,"Legendary #2",待开发
REX-0254,"Artifact数字藏品",P1,"种子生成 #2",待开发
REX-0255,"Artifact数字藏品",P1,"metadata #2",待开发
REX-0256,"Artifact数字藏品",P1,"NFT mint #3",待开发
REX-0257,"Artifact数字藏品",P1,"ERC-721 #3",待开发
REX-0258,"Artifact数字藏品",P1,"稀有度验证 #3",待开发
REX-0259,"Artifact数字藏品",P1,"SVG生成 #3",待开发
REX-0260,"Artifact数字藏品",P1,"Canvas渲染 #3",待开发
REX-0261,"Artifact数字藏品",P1,"Reveal动画 #3",待开发
REX-0262,"Artifact数字藏品",P1,"画廊 #3",待开发
REX-0263,"Artifact数字藏品",P1,"详情页 #3",待开发
REX-0264,"Artifact数字藏品",P1,"OpenSea #3",待开发
REX-0265,"Artifact数字藏品",P1,"IPFS #3",待开发
REX-0266,"Artifact数字藏品",P1,"Arweave #3",待开发
REX-0267,"Artifact数字藏品",P1,"转赠 #3",待开发
REX-0268,"Artifact数字藏品",P1,"二级市场 #3",待开发
REX-0269,"Artifact数字藏品",P1,"版税 #3",待开发
REX-0270,"Artifact数字藏品",P1,"Collection #3",待开发
REX-0271,"Artifact数字藏品",P1,"未开证明 #3",待开发
REX-0272,"Artifact数字藏品",P1,"合成 #3",待开发
REX-0273,"Artifact数字藏品",P1,"Legendary #3",待开发
REX-0274,"Artifact数字藏品",P1,"种子生成 #3",待开发
REX-0275,"Artifact数字藏品",P1,"metadata #3",待开发
REX-0276,"Artifact数字藏品",P1,"NFT mint #4",待开发
REX-0277,"Artifact数字藏品",P1,"ERC-721 #4",待开发
REX-0278,"Artifact数字藏品",P1,"稀有度验证 #4",待开发
REX-0279,"Artifact数字藏品",P1,"SVG生成 #4",待开发
REX-0280,"Artifact数字藏品",P1,"Canvas渲染 #4",待开发
REX-0281,"钱包与用户",P1,"MetaMask",待开发
REX-0282,"钱包与用户",P1,"WalletConnect",待开发
REX-0283,"钱包与用户",P1,"Rialo钱包",待开发
REX-0284,"钱包与用户",P1,"持久化",待开发
REX-0285,"钱包与用户",P1,"断开清理",待开发
REX-0286,"钱包与用户",P1,"Profile",待开发
REX-0287,"钱包与用户",P1,"创建历史",待开发
REX-0288,"钱包与用户",P1,"开箱历史",待开发
REX-0289,"钱包与用户",P1,"站内通知",待开发
REX-0290,"钱包与用户",P1,"邮件",待开发
REX-0291,"钱包与用户",P1,"Web Push",待开发
REX-0292,"钱包与用户",P1,"多地址",待开发
REX-0293,"钱包与用户",P1,"ENS",待开发
REX-0294,"钱包与用户",P1,"余额显示",待开发
REX-0295,"钱包与用户",P1,"交易历史",待开发
REX-0296,"钱包与用户",P1,"数据导出",待开发
REX-0297,"钱包与用户",P1,"注销",待开发
REX-0298,"钱包与用户",P1,"过期处理",待开发
REX-0299,"钱包与用户",P1,"引导页",待开发
REX-0300,"钱包与用户",P1,"DeepLink",待开发
REX-0301,"钱包与用户",P1,"MetaMask #2",待开发
REX-0302,"钱包与用户",P1,"WalletConnect #2",待开发
REX-0303,"钱包与用户",P1,"Rialo钱包 #2",待开发
REX-0304,"钱包与用户",P1,"持久化 #2",待开发
REX-0305,"钱包与用户",P1,"断开清理 #2",待开发
REX-0306,"钱包与用户",P1,"Profile #2",待开发
REX-0307,"钱包与用户",P1,"创建历史 #2",待开发
REX-0308,"钱包与用户",P1,"开箱历史 #2",待开发
REX-0309,"钱包与用户",P1,"站内通知 #2",待开发
REX-0310,"钱包与用户",P1,"邮件 #2",待开发
REX-0311,"钱包与用户",P1,"Web Push #2",待开发
REX-0312,"钱包与用户",P1,"多地址 #2",待开发
REX-0313,"钱包与用户",P1,"ENS #2",待开发
REX-0314,"钱包与用户",P1,"余额显示 #2",待开发
REX-0315,"钱包与用户",P1,"交易历史 #2",待开发
REX-0316,"钱包与用户",P1,"数据导出 #2",待开发
REX-0317,"钱包与用户",P1,"注销 #2",待开发
REX-0318,"钱包与用户",P1,"过期处理 #2",待开发
REX-0319,"钱包与用户",P1,"引导页 #2",待开发
REX-0320,"钱包与用户",P1,"DeepLink #2",待开发
REX-0321,"钱包与用户",P1,"MetaMask #3",待开发
REX-0322,"钱包与用户",P1,"WalletConnect #3",待开发
REX-0323,"钱包与用户",P1,"Rialo钱包 #3",待开发
REX-0324,"钱包与用户",P1,"持久化 #3",待开发
REX-0325,"钱包与用户",P1,"断开清理 #3",待开发
REX-0326,"钱包与用户",P1,"Profile #3",待开发
REX-0327,"钱包与用户",P1,"创建历史 #3",待开发
REX-0328,"钱包与用户",P1,"开箱历史 #3",待开发
REX-0329,"钱包与用户",P1,"站内通知 #3",待开发
REX-0330,"钱包与用户",P1,"邮件 #3",待开发
REX-0331,"钱包与用户",P1,"Web Push #3",待开发
REX-0332,"钱包与用户",P1,"多地址 #3",待开发
REX-0333,"钱包与用户",P1,"ENS #3",待开发
REX-0334,"钱包与用户",P1,"余额显示 #3",待开发
REX-0335,"钱包与用户",P1,"交易历史 #3",待开发
REX-0336,"前端UI/UX",P1,"移动响应式",待开发
REX-0337,"前端UI/UX",P1,"平板适配",待开发
REX-0338,"前端UI/UX",P1,"暗色模式",待开发
REX-0339,"前端UI/UX",P1,"主题跟随",待开发
REX-0340,"前端UI/UX",P1,"骨架屏",待开发
REX-0341,"前端UI/UX",P1,"空状态",待开发
REX-0342,"前端UI/UX",P1,"错误边界",待开发
REX-0343,"前端UI/UX",P1,"断网Banner",待开发
REX-0344,"前端UI/UX",P1,"3D动画",待开发
REX-0345,"前端UI/UX",P1,"Dashboard",待开发
REX-0346,"前端UI/UX",P1,"Step引导",待开发
REX-0347,"前端UI/UX",P1,"Onboarding",待开发
REX-0348,"前端UI/UX",P1,"中文",待开发
REX-0349,"前端UI/UX",P1,"英文",待开发
REX-0350,"前端UI/UX",P1,"日文",待开发
REX-0351,"前端UI/UX",P1,"键盘A11y",待开发
REX-0352,"前端UI/UX",P1,"ARIA",待开发
REX-0353,"前端UI/UX",P1,"WCAG",待开发
REX-0354,"前端UI/UX",P1,"PWA",待开发
REX-0355,"前端UI/UX",P1,"SW离线",待开发
REX-0356,"前端UI/UX",P1,"LCP",待开发
REX-0357,"前端UI/UX",P1,"代码分割",待开发
REX-0358,"前端UI/UX",P1,"WebP",待开发
REX-0359,"前端UI/UX",P1,"SEO",待开发
REX-0360,"前端UI/UX",P1,"OG卡片",待开发
REX-0361,"前端UI/UX",P1,"Favicon",待开发
REX-0362,"前端UI/UX",P1,"微交互",待开发
REX-0363,"前端UI/UX",P1,"Toast",待开发
REX-0364,"前端UI/UX",P1,"Modal",待开发
REX-0365,"前端UI/UX",P1,"Form",待开发
REX-0366,"前端UI/UX",P1,"Token",待开发
REX-0367,"前端UI/UX",P1,"Storybook",待开发
REX-0368,"前端UI/UX",P1,"过渡",待开发
REX-0369,"前端UI/UX",P1,"虚拟列表",待开发
REX-0370,"前端UI/UX",P1,"移动响应式 #2",待开发
REX-0371,"前端UI/UX",P1,"平板适配 #2",待开发
REX-0372,"前端UI/UX",P1,"暗色模式 #2",待开发
REX-0373,"前端UI/UX",P1,"主题跟随 #2",待开发
REX-0374,"前端UI/UX",P1,"骨架屏 #2",待开发
REX-0375,"前端UI/UX",P1,"空状态 #2",待开发
REX-0376,"前端UI/UX",P1,"错误边界 #2",待开发
REX-0377,"前端UI/UX",P1,"断网Banner #2",待开发
REX-0378,"前端UI/UX",P1,"3D动画 #2",待开发
REX-0379,"前端UI/UX",P1,"Dashboard #2",待开发
REX-0380,"前端UI/UX",P1,"Step引导 #2",待开发
REX-0381,"前端UI/UX",P1,"Onboarding #2",待开发
REX-0382,"前端UI/UX",P1,"中文 #2",待开发
REX-0383,"前端UI/UX",P1,"英文 #2",待开发
REX-0384,"前端UI/UX",P1,"日文 #2",待开发
REX-0385,"前端UI/UX",P1,"键盘A11y #2",待开发
REX-0386,"前端UI/UX",P1,"ARIA #2",待开发
REX-0387,"前端UI/UX",P1,"WCAG #2",待开发
REX-0388,"前端UI/UX",P1,"PWA #2",待开发
REX-0389,"前端UI/UX",P1,"SW离线 #2",待开发
REX-0390,"前端UI/UX",P1,"LCP #2",待开发
REX-0391,"前端UI/UX",P1,"代码分割 #2",待开发
REX-0392,"前端UI/UX",P1,"WebP #2",待开发
REX-0393,"前端UI/UX",P1,"SEO #2",待开发
REX-0394,"前端UI/UX",P1,"OG卡片 #2",待开发
REX-0395,"前端UI/UX",P1,"Favicon #2",待开发
REX-0396,"前端UI/UX",P1,"微交互 #2",待开发
REX-0397,"前端UI/UX",P1,"Toast #2",待开发
REX-0398,"前端UI/UX",P1,"Modal #2",待开发
REX-0399,"前端UI/UX",P1,"Form #2",待开发
REX-0400,"前端UI/UX",P1,"Token #2",待开发
REX-0401,"前端UI/UX",P1,"Storybook #2",待开发
REX-0402,"前端UI/UX",P1,"过渡 #2",待开发
REX-0403,"前端UI/UX",P1,"虚拟列表 #2",待开发
REX-0404,"前端UI/UX",P1,"移动响应式 #3",待开发
REX-0405,"前端UI/UX",P1,"平板适配 #3",待开发
REX-0406,"实时与自动化",P1,"WebSocket",待开发
REX-0407,"实时与自动化",P1,"SSE",待开发
REX-0408,"实时与自动化",P1,"轮询配置",待开发
REX-0409,"实时与自动化",P1,"Push通知",待开发
REX-0410,"实时与自动化",P1,"Cron监控",待开发
REX-0411,"实时与自动化",P1,"多城并行",待开发
REX-0412,"实时与自动化",P1,"优先级队列",待开发
REX-0413,"实时与自动化",P1,"刷新频率",待开发
REX-0414,"实时与自动化",P1,"异常检测",待开发
REX-0415,"实时与自动化",P1,"Webhook",待开发
REX-0416,"实时与自动化",P1,"IFTTT",待开发
REX-0417,"实时与自动化",P1,"Telegram",待开发
REX-0418,"实时与自动化",P1,"Discord",待开发
REX-0419,"实时与自动化",P1,"日志流",待开发
REX-0420,"实时与自动化",P1,"全屏Live",待开发
REX-0421,"实时与自动化",P1,"多Vault看板",待开发
REX-0422,"实时与自动化",P1,"WebSocket #2",待开发
REX-0423,"实时与自动化",P1,"SSE #2",待开发
REX-0424,"实时与自动化",P1,"轮询配置 #2",待开发
REX-0425,"实时与自动化",P1,"Push通知 #2",待开发
REX-0426,"实时与自动化",P1,"Cron监控 #2",待开发
REX-0427,"实时与自动化",P1,"多城并行 #2",待开发
REX-0428,"实时与自动化",P1,"优先级队列 #2",待开发
REX-0429,"实时与自动化",P1,"刷新频率 #2",待开发
REX-0430,"实时与自动化",P1,"异常检测 #2",待开发
REX-0431,"实时与自动化",P1,"Webhook #2",待开发
REX-0432,"实时与自动化",P1,"IFTTT #2",待开发
REX-0433,"实时与自动化",P1,"Telegram #2",待开发
REX-0434,"实时与自动化",P1,"Discord #2",待开发
REX-0435,"实时与自动化",P1,"日志流 #2",待开发
REX-0436,"实时与自动化",P1,"全屏Live #2",待开发
REX-0437,"实时与自动化",P1,"多Vault看板 #2",待开发
REX-0438,"实时与自动化",P1,"WebSocket #3",待开发
REX-0439,"实时与自动化",P1,"SSE #3",待开发
REX-0440,"实时与自动化",P1,"轮询配置 #3",待开发
REX-0441,"实时与自动化",P1,"Push通知 #3",待开发
REX-0442,"实时与自动化",P1,"Cron监控 #3",待开发
REX-0443,"实时与自动化",P1,"多城并行 #3",待开发
REX-0444,"实时与自动化",P1,"优先级队列 #3",待开发
REX-0445,"实时与自动化",P1,"刷新频率 #3",待开发
REX-0446,"安全与隐私",P2,"合约审计",待开发
REX-0447,"安全与隐私",P2,"Slither",待开发
REX-0448,"安全与隐私",P2,"XSS",待开发
REX-0449,"安全与隐私",P2,"CSRF",待开发
REX-0450,"安全与隐私",P2,"Key隔离",待开发
